scenario,profile,loss_pct,domain,status,measurement_status,profile,baseline_rtt_ms,baseline_ttfb_ms,pass_ttfb_ms,hybrid_ttfb_ms,fail_ttfb_ms,selected_ttfb_ms,pqc_ttfb_ms,extra_flights,degradation_pct,packet_loss_pct,hybrid_loss_threshold_pct,cbom_migration_risk,cbom_migration_reason,error
model-pass,pass,0.1,hindustanunilever.com,hybrid,pass,pass,88.77,196.28,186.22,390.49,465.04,186.22,186.22,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,dabur.com,fail,pass,pass,188.52,408.55,387.62,818.04,970.74,387.62,387.62,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,patanjaliayurved.net,fail,pass,pass,244.03,526.67,499.69,1055.97,1252.16,499.69,499.69,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,muscleblaze.com,pass,pass,pass,19.44,49.69,47.14,95.04,116.85,47.14,47.14,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,myprotein.co.in,pass,pass,pass,28.79,69.4,65.84,134.77,163.6,65.84,65.84,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,decathlon.in,pass,pass,pass,15.07,40.47,38.4,76.46,95.0,38.4,38.4,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,underarmour.in,fail,pass,pass,239.87,517.82,491.29,1038.14,1231.07,491.29,491.29,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,asics.com,pass,pass,pass,24.04,59.38,56.34,114.59,139.85,56.34,56.34,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,reebok.in,fail,pass,pass,238.76,515.46,489.05,1033.38,1225.44,489.05,489.05,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,nike.com,pass,pass,pass,15.27,40.9,38.8,77.31,96.0,38.8,38.8,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,adidas.co.in,fail,pass,pass,174.42,378.54,359.15,757.61,899.26,359.15,359.15,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,puma.com,pass,pass,pass,12.75,35.58,33.76,66.6,83.4,33.76,33.76,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,ruosh.com,pass,pass,pass,14.96,40.24,38.18,76.0,94.45,38.18,38.18,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,metroshoes.com,pass,pass,pass,17.81,46.25,43.88,88.11,108.7,43.88,43.88,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,bata.in,fail,pass,pass,170.77,370.78,351.78,741.96,880.75,351.78,351.78,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,casio-intl.com,pass,pass,pass,19.15,49.07,46.56,93.8,115.4,46.56,46.56,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,sonatawatches.in,pass,pass,pass,17.42,45.43,43.1,86.45,106.75,43.1,43.1,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,fastrack.in,pass,pass,pass,16.68,43.87,41.62,83.31,103.05,41.62,41.62,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,titan.co.in,pass,pass,pass,37.84,88.47,83.94,173.24,208.85,83.94,83.94,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,suzukimotorcycle.co.in,pass,pass,pass,18.6,47.91,45.46,91.47,112.65,45.46,45.46,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,yamahamotor-india.com,fail,hybrid,pass,180.0,390.41,370.41,781.52,927.54,370.41,370.41,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,[Errno -2] Name or service not known
model-pass,pass,0.1,royalenfield.com,pass,pass,pass,14.5,39.27,37.26,74.04,92.15,37.26,37.26,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,tvsmotor.com,pass,pass,pass,15.39,41.15,39.04,77.82,96.6,39.04,39.04,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,bajajauto.com,fail,pass,pass,229.87,496.54,471.1,995.28,1180.37,471.1,471.1,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,heromotocorp.com,pass,pass,pass,11.74,33.45,31.74,62.31,78.35,31.74,31.74,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,renault.co.in,fail,pass,pass,401.95,862.72,818.52,1732.85,2052.76,818.52,818.52,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,volkswagen.co.in,pass,pass,pass,15.8,42.01,39.86,79.57,98.65,39.86,39.86,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,skoda-auto.co.in,fail,pass,pass,384.07,824.68,782.43,1656.21,1962.12,782.43,782.43,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,kiamotors.in,fail,hybrid,pass,180.0,390.41,370.41,781.52,927.54,370.41,370.41,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,[Errno -2] Name or service not known
model-pass,pass,0.1,hondacarindia.com,pass,pass,pass,23.63,58.52,55.52,112.84,137.8,55.52,55.52,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,toyotabharat.com,fail,pass,pass,323.91,696.65,660.96,1398.35,1657.12,660.96,660.96,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,mahindra.com,pass,pass,pass,14.57,39.42,37.4,74.34,92.5,37.4,37.4,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,tatamotors.com,pass,pass,pass,13.67,37.52,35.6,70.51,88.0,35.6,35.6,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,hyundai.com,fail,pass,pass,304.46,655.27,621.7,1314.99,1558.52,621.7,621.7,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,marutisuzuki.com,pass,pass,pass,34.28,80.97,76.82,158.11,191.05,76.82,76.82,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,firebase.google.com,pass,pass,pass,17.31,45.2,42.88,85.98,106.2,42.88,42.88,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,netlify.com,pass,pass,pass,12.02,34.04,32.3,63.5,79.75,32.3,32.3,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,vercel.com,pass,pass,pass,1.57,12.02,11.4,19.09,27.5,11.4,11.4,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,heroku.com,pass,pass,pass,12.82,35.73,33.9,66.9,83.75,33.9,33.9,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,digitalocean.com,pass,pass,pass,12.79,35.67,33.84,66.77,83.6,33.84,33.84,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,namecheap.com,pass,pass,pass,31.89,75.93,72.04,147.95,179.1,72.04,72.04,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,crazydomains.in,fail,pass,pass,1020.42,2178.83,2067.2,4383.76,5188.22,2067.2,2067.2,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,bluehost.in,pass,pass,pass,20.68,52.3,49.62,100.31,123.05,49.62,49.62,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,bigrock.in,pass,pass,pass,15.69,41.78,39.64,79.1,98.1,39.64,39.64,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,hostinger.in,pass,pass,pass,25.18,61.79,58.62,119.43,145.55,58.62,58.62,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,godaddy.com,pass,pass,pass,3.24,15.54,14.74,26.19,35.85,14.74,14.74,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,shopify.in,pass,pass,pass,24.63,60.63,57.52,117.09,142.8,57.52,57.52,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,wix.com,pass,pass,pass,30.18,72.33,68.62,140.68,170.55,68.62,68.62,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,wordpress.com,pass,pass,pass,10.48,30.8,29.22,56.96,72.05,29.22,29.22,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,cloud.google.com,pass,pass,pass,1.76,12.42,11.78,19.9,28.45,11.78,11.78,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,azure.microsoft.com,pass,pass,pass,12.46,34.97,33.18,65.37,81.95,33.18,33.18,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,aws.amazon.com,pass,pass,pass,24.6,60.56,57.46,116.97,142.65,57.46,57.46,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,stackoverflow.com,pass,pass,pass,26.66,64.91,61.58,125.72,152.95,61.58,61.58,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,github.com,pass,pass,pass,26.9,65.41,62.06,126.74,154.15,62.06,62.06,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,medium.com,pass,pass,pass,28.02,67.77,64.3,131.5,159.75,64.3,64.3,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,quora.com,hybrid,pass,pass,81.55,180.92,171.65,359.54,428.43,171.65,171.65,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,udemy.com,pass,pass,pass,13.53,37.23,35.32,69.92,87.3,35.32,35.32,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,coursera.org,pass,pass,pass,11.34,32.61,30.94,60.61,76.35,30.94,30.94,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,greatlearning.in,pass,pass,pass,14.23,38.7,36.72,72.89,90.8,36.72,36.72,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,simplilearn.com,pass,pass,pass,17.49,45.57,43.24,86.75,107.1,43.24,43.24,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,upgrad.com,pass,pass,pass,13.63,37.44,35.52,70.34,87.8,35.52,35.52,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,physicswallah.live,fail,pass,pass,224.95,486.07,461.17,974.19,1155.43,461.17,461.17,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,toppr.com,hybrid,pass,pass,82.37,182.66,173.3,363.06,432.59,173.3,173.3,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,vedantu.com,pass,pass,pass,19.79,50.42,47.84,96.52,118.6,47.84,47.84,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,byjus.com,pass,pass,pass,19.21,49.2,46.68,94.06,115.7,46.68,46.68,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,unacademy.com,pass,pass,pass,25.67,62.82,59.6,121.51,148.0,59.6,59.6,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,instamojo.com,fail,pass,pass,240.49,519.14,492.54,1040.8,1234.21,492.54,492.54,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,pine-labs.com,pass,pass,pass,34.52,81.47,77.3,159.13,192.25,77.3,77.3,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,billdesk.com,fail,pass,pass,247.21,533.44,506.11,1069.6,1268.28,506.11,506.11,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,chargebee.com,hybrid,pass,pass,85.32,188.94,179.26,375.7,447.55,179.26,179.26,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,razorpay.com,pass,pass,pass,18.31,47.3,44.88,90.23,111.2,44.88,44.88,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,browserstack.com,hybrid,pass,pass,91.53,202.16,191.8,402.32,479.03,191.8,191.8,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,postman.com,pass,pass,pass,12.25,34.53,32.76,64.48,80.9,32.76,32.76,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,freshworks.com,pass,pass,pass,13.55,37.27,35.36,70.0,87.4,35.36,35.36,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,zoho.com,pass,pass,pass,33.03,78.33,74.32,152.79,184.8,74.32,74.32,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,cyient.com,fail,hybrid,pass,180.0,390.41,370.41,781.52,927.54,370.41,370.41,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,profiling timed out
model-pass,pass,0.1,hexaware.com,pass,pass,pass,38.69,90.26,85.64,176.85,213.1,85.64,85.64,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,mindtree.com,fail,pass,pass,255.59,551.27,523.03,1105.52,1310.76,523.03,523.03,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,mphasis.com,fail,pass,pass,219.05,473.51,449.25,948.9,1125.52,449.25,449.25,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,ltimindtree.com,fail,pass,pass,242.88,524.23,497.37,1051.04,1246.33,497.37,497.37,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,techmahindra.com,fail,pass,pass,247.1,533.21,505.89,1069.13,1267.72,505.89,505.89,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,hcltech.com,fail,pass,pass,278.47,599.96,569.22,1203.59,1426.76,569.22,569.22,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,wipro.com,hybrid,pass,pass,96.88,213.54,202.6,425.25,506.15,202.6,202.6,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,infosys.com,pass,pass,pass,11.25,32.42,30.76,60.23,75.9,30.76,30.76,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,tcs.com,fail,pass,pass,417.8,896.45,850.52,1800.79,2133.12,850.52,850.52,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,nestaway.com,pass,pass,pass,17.4,45.39,43.06,86.37,106.65,43.06,43.06,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,propertywala.com,fail,pass,pass,235.05,507.56,481.56,1017.48,1206.63,481.56,481.56,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,realestateindia.com,hybrid,pass,pass,88.49,195.69,185.66,389.29,463.62,185.66,185.66,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,commonfloor.com,pass,pass,pass,17.95,46.54,44.16,88.7,109.4,44.16,44.16,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,proptiger.com,fail,pass,pass,243.52,525.59,498.66,1053.78,1249.57,498.66,498.66,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,makaan.com,fail,pass,pass,253.66,547.16,519.13,1097.25,1300.98,519.13,519.13,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,squareyards.com,hybrid,pass,pass,102.21,224.88,213.36,448.1,533.17,213.36,213.36,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,nobroker.in,fail,pass,pass,1040.89,2222.38,2108.52,4471.5,5291.99,2108.52,2108.52,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,housing.com,pass,pass,pass,13.32,36.78,34.9,69.03,86.25,34.9,34.9,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,99acres.com,pass,pass,pass,17.91,46.46,44.08,88.53,109.2,44.08,44.08,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,magicbricks.com,pass,pass,pass,12.12,34.26,32.5,63.93,80.25,32.5,32.5,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,linkedin.com,pass,pass,pass,12.86,35.81,33.98,67.07,83.95,33.98,33.98,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,indeed.co.in,pass,pass,pass,44.72,102.98,97.7,202.48,243.25,97.7,97.7,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,glassdoor.co.in,pass,pass,pass,12.57,35.2,33.4,65.84,82.5,33.4,33.4,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,apna.co,pass,pass,pass,28.05,67.84,64.36,131.63,159.9,64.36,64.36,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,internshala.com,pass,pass,pass,13.88,37.97,36.02,71.41,89.05,36.02,36.02,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,timesjobs.com,fail,pass,pass,290.03,624.56,592.56,1253.14,1485.36,592.56,592.56,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,shine.com,pass,pass,pass,12.96,36.03,34.18,67.5,84.45,34.18,34.18,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,foundit.in,fail,pass,pass,227.79,492.11,466.9,986.36,1169.83,466.9,466.9,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,naukri.com,pass,pass,pass,19.86,50.57,47.98,96.82,118.95,47.98,47.98,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,wb.gov.in,fail,pass,pass,500.7,1072.87,1017.9,2156.12,2553.4,1017.9,1017.9,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,mp.gov.in,fail,hybrid,pass,180.0,390.41,370.41,781.52,927.54,370.41,370.41,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,profiling timed out
model-pass,pass,0.1,rajasthan.gov.in,fail,pass,pass,526.92,1128.65,1070.83,2268.5,2686.32,1070.83,1070.83,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,gujaratindia.com,pass,pass,pass,18.1,46.86,44.46,89.34,110.15,44.46,44.46,0,-5.12,0.1,,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,kerala.gov.in,fail,pass,pass,462.69,991.98,941.16,1993.2,2360.7,941.16,941.16,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,karnataka.gov.in,fail,hybrid,pass,180.0,390.41,370.41,781.52,927.54,370.41,370.41,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,profiling timed out
model-pass,pass,0.1,tn.gov.in,fail,pass,pass,448.58,961.95,912.67,1932.72,2289.16,912.67,912.67,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,maharashtra.gov.in,fail,pass,pass,467.73,1002.7,951.33,2014.8,2386.25,951.33,951.33,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,up.gov.in,fail,hybrid,pass,180.0,390.41,370.41,781.52,927.54,370.41,370.41,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,profiling timed out
model-pass,pass,0.1,delhi.gov.in,fail,hybrid,pass,180.0,390.41,370.41,781.52,927.54,370.41,370.41,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,profiling timed out
model-pass,pass,0.1,iisc.ac.in,fail,pass,pass,273.58,589.55,559.35,1182.63,1401.97,559.35,559.35,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,iitsystem.ac.in,fail,pass,pass,517.61,1108.85,1052.04,2228.6,2639.12,1052.04,1052.04,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,aicte-india.org,fail,hybrid,pass,180.0,390.41,370.41,781.52,927.54,370.41,370.41,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,profiling timed out
model-pass,pass,0.1,ugc.ac.in,fail,pass,pass,453.22,971.83,922.04,1952.61,2312.69,922.04,922.04,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,swayam.gov.in,fail,pass,pass,158.86,345.43,327.73,690.91,820.37,327.73,327.73,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,nptel.ac.in,hybrid,pass,pass,82.55,183.05,173.67,363.83,433.5,173.67,173.67,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,ignou.ac.in,fail,pass,pass,484.96,1039.37,986.12,2088.65,2473.6,986.12,986.12,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
model-pass,pass,0.1,cbse.gov.in,fail,pass,pass,471.39,1010.49,958.72,2030.49,2404.8,958.72,958.72,0,-5.12,0.1,0.1,Normal,Baseline RTT/loss profile remains within migration guardrails.,
